STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
749.3031(a) - Beds and bedding-each child shall have his own bed and mattress,0,0,5,2,False
748.1691(b)(1) - Nutrition-must provide toddlers and school-age children with three meals and at least one snack a day,0,0,2,2,False
749.1541(c)(6) - Medication Record-Must include name & signature of person who administered each medication,0,0,0,2,False
744.605(10) - Required Admission Information-Water Activity Permission,0,0,0,2,False
748.2851(c)(2) - EBI Follow-Up-Caregivers involved in EBI must make reasonable efforts to debrief with children in care who witness the incident,0,0,1,2,False
748.1349(a)(3) - Initial Service Plan-Give copy or summary of plan to child's caregivers,0,0,2,2,False
"749.1281(a)(2) - Subsequent Placement-If move is not an emergency, child placement management staff document review and approval in the child's record",0,0,0,2,False
"748.3353(b)(1) - Monitoring Devices-Parent, or other person legally authorized to consent, must consent to the use of the video camera",0,0,0,2,False
"748.3351(5) - Interior Space-provide bedroom windows with curtains, blinds, shades, or other provisions for rest and privacy",0,0,0,2,False
748.395(1) - Active child record - All documentation in the record no later than 30 days after occurrence or event,0,0,0,2,False
"748.2853(4) - EBI Documentation-Content of the post discussion, if applicable",0,0,1,2,False
744.1331(c) - Employee record: Signed and Dated Statement for Orientation/Pre-Service training,0,2,2,2,False
"744.2507(8) - Operation Heated, Lighted and Ventilated Properly",0,0,0,2,False
744.605(1) - Required Admission Information-Name and Birthdate,0,0,1,2,False
"748.1337(b)(1)(H)(i) - Initial Service Plan-For child who exhibits high risk behaviors, include plans to minimize risk of harm to self or others",0,0,0,2,False
"748.3351(4) - Interior Space-Provide 40 square feet of indoor activity space per child, including adult residents & children of caregivers residing at the operation",0,0,1,2,False
"748.1351 - Initial Service Plan-Implement & follow plan as soon as all team members have reviewed/signed it, but no later than 15 days after date of meeting",0,0,0,2,False
"748.2855(a)(10) - EBI Documentation-Must include child's condition following EBI, including any injury child sustained or any adverse effects caused by use of EBI",0,0,0,2,False
749.1543(a) - Medication records-The foster parents must maintain medication records at the foster home for current month,0,0,1,2,False
744.1305(1) - Pre-Service Training-Developmental Stages,0,0,1,2,False
"749.1115(b) - Information to provide caregivers-By child's admission, inform caregivers of any special needs, such as medical, dietary, supervision needs/condition",0,0,0,2,False
748.1337(b)(1)(D)(iii) - Initial Service Plan-Include child's trauma triggers,0,0,0,2,False
"744.801(10) - Required Records Maintained and Made Available - Fire Inspection Report, Including Written Approval for Above/Below Ground Level Care",0,0,0,2,False
749.2453(a)(2) - You must update a foster home screening- When there is a major life change in the foster family as described in 749.2805,0,3,5,2,False
748.4083(b) - Vehicle and maintenance-Each vehicle used must be registered and have a current inspection sticker for the state in which it is registered,0,1,1,2,False
748.4203 - Admission-Each child receiving emergency care services must receive a health screening or EPSDT examination within 72 hours after admission,0,0,0,2,False
744.601(c) - Provide Access to Children's Records - Licensing,0,0,2,2,False
"748.1337(b)(1)(D) - Initial Service Plan-Include specific goals and strategies to meet the child's needs, including instructions to caregivers",0,0,1,2,False
744.3561(a)(3) - Emergency Evacuation and Relocation Diagram - Designated Location,0,0,0,2,False
749.2451(a) - Documentation of Interviews-Must document all interviews and attempted interviews of persons required for a foster home screening,0,0,0,2,False
"748.1337(b)(1)(A)(i) - Initial Service Plan-Include medical needs, including scheduled medical exams and plans for recommended follow-up treatment",0,0,0,2,False
748.1337(a) - Initial Service Plan-Base on needs identified in admission assessment; justify delay in addressing needs if service planning team prioritizes goals,0,0,2,2,False
749.2471(2) - Verification-Includes completing and documenting the required interviews in 749.2449,0,0,2,2,False
744.1303(b)(1) - Orientation-Administering Medication,0,0,0,2,False
749.1301(a) - Preliminary Service Planning-Complete a preliminary service plan that addresses child's immediate needs within 72 hours of admission,0,2,12,2,False
"748.1387 - Service Plan Review-Must comply with notification, participation, implementation, and documentation requirements for an initial service plan",0,0,4,2,False
746.1039(b)(2) - Documentation for Directors - Submit When New Director Designated,0,1,6,2,False
744.2909(a) - Share Indoor Activity Space With Written Plan,0,2,2,2,False
744.605(5) - Required Admission Information-phone number parents may be reached,0,0,0,2,False
"749.3039(d) - Outdoor Equipment-must be appropriate, cleaned, maintained, and repaired",0,0,1,2,False
"749.1323 - Implementation of Service Plan-Implement a plan as soon as all team members have reviewed and signed it, but no later than 10 days after meeting",0,1,9,2,False
744.605(4) - Required Admission Information-Parents name and address,0,0,0,2,False
749.1321(a)(3) - Sharing Initial Service Plan-Agency must give copy or summary of the initial service plan to the child's caregivers,0,0,2,2,False
"749.3041(4) - Physical Environment-Foster home must ensure that outdoor areas are safe for children, kept clean, and in good repair",0,0,4,2,False
748.1531(a)(3) - Medical care-A child in care must receive medical care as needed for ongoing maintenance of medical health,0,0,2,2,False
749.2593(a)(1) - Supervision-The caregiver must know which children they are responsible for,0,0,0,2,False
746.1109(a)(2) - Caregiver Qualification Age Exemption with HS Diploma/GED- Supervised By Qualified Caregiver,0,0,2,2,False
748.2551(b)(3) - EBI Implementation-The caregiver must consider the potential risk of harm in using EBI versus the risk of not using EBI,0,0,0,2,False
748.151(1) - Operational responsibilities - Designate a qualified full-time child-care administrator,0,0,0,2,False
749.1541(b) - Medication Record-Must update cumulative medication record within 24 hours of administering medication,0,0,0,2,False
748.2801(2)(C) - EBI Time Limits-Maximum length of time for a prone or supine personal restraint is one minute,0,0,0,2,False
749.2557(a) - Capacity-Foster homes may not exceed the total capacity stated on the home's verification,0,2,8,2,False
"748.363(13) - Personnel records-Include date and reason for the person's separation from the operation, if applicable",0,0,0,2,False
744.2005(d) - Posting of Activity Plan,0,0,5,2,False
"748.363(4) - Personnel records-Include evidence of valid professional licensures, certifications, or registrations required for the position",0,1,2,2,False
744.3113(c) - Maintenance Procedures for Active Play - Hazards Removed or Repaired,0,1,1,2,False
748.1501(b)(1) - Dental Care-Written record of each dental examination must include a copy of the examination results,0,0,0,2,False
748.1501(a)(4) - Dental care-Children in care must receive dental care as needed for ongoing maintenance of dental health,0,0,3,2,False
"749.3103 - Transportation-drivers and passengers must follow federal, state and local laws, including child safety systems, seat belts, and insurance",0,1,9,2,False
744.2003(1) - Care Requirements for Children Younger Than 5 - Written Plan,0,1,4,2,False
744.3255(a) - Installation and Maintenance of Loose-fill Surfacing - Nine Inches,0,2,1,2,False
746.113(a) - Operating in compliance with MS Rules Licensed,0,0,0,2,False
744.801(14) - Required Records Maintained and Made Available - Fire Inspection Report,0,0,3,2,False
749.3133(j) - Swimming Pools-bottom of the pool must be visible at all times,0,0,3,2,False
748.393(b)(4) - Active child record - Ensure record is locked and kept in a safe location or locations,0,0,0,2,False
746.1201(3) - Responsibilities of Employees and Caregivers -Recognize and Respect Children's Uniqueness and Potential,0,1,0,2,False
748.363(11) - Personnel records-Include record of training and training hours,0,0,1,2,False
748.945(2) - Annual Training-Caregiver that administers psychotropic medication must receive annual psychotropic medication training every 12 months,0,0,4,2,False
744.1001(a) - Designated Director,0,0,18,2,False
746.1329(a)(4) - Documentation of Training Requirements - Trainer's Name,0,0,0,2,False
746.1507(3) - Determining Child/Caregiver Ratios - Caregiver Skills/Needs of Children,0,1,0,2,False
746.2501(5) - Care Requirements for Toddlers - Free from Choking Objects,0,9,20,2,False
747.1311(a) - Time Period of Training - Primary Caregiver,0,1,4,2,False
747.1327(a)(2) - Documentation of Training Requirements - Date,0,2,2,2,False
746.2431(4) - Infant Daily Report - Child's Mood,0,0,7,2,False
747.1501(c)(2) - Additional Responsibilities of Caregivers - Know and Comply with Minimum Standards,0,1,4,2,False
747.1605 - Total Number of Children Cannot Exceed 12,0,3,6,2,False
747.1607 - Naptime Child/Caregiver Ratio,0,1,1,2,False
747.1803 - Child/Caregiver Ratio - Licensed Child Care Home with 2 Caregivers,0,1,6,2,False
747.1901(a) - Child/Caregiver Ratio for Field Trips - Areas Open to General Public,0,1,0,2,False
747.203 - Primary Caregiver's Absence - Qualified Caregiver in Charge,1,4,4,2,False
747.203(3) - Primary Caregiver's Absence -  Caregiver in Charge Have Access to All Records,0,8,3,2,False
746.2428 - No Swaddling of Infant Unless Completed Sleep Exception Form on File,0,0,0,2,False
747.2103(a)(7) - Planned Activities Allow Children to Progress at Developmental Rate,0,0,0,2,False
747.2105(a) - Use of TV/Video/Computer,1,0,1,2,False
747.4803 - Swimming Pools Meet Standards for DSHS,0,2,0,2,False
747.4801(4) - Swimming Pools - Chemicals and Pumps Inaccessible to Children,1,1,3,2,False
747.4801(1) - Safety Precautions for Swimming Pools - Lifesaving Devices,0,0,0,2,False
